x;y;z;T
-5.0;0.0;0.0;108.087964
-5.0;-0.0;0.0;108.087964
-4.996858924092187;0.17720297040476124;0.0;108.087964
-4.996858924092187;-0.17720297040476124;0.0;108.087964
-4.987441896094137;0.3541515679549047;0.0;108.087964
-4.987441896094137;-0.3541515679549047;0.0;108.087964
-4.971767506004445;0.5305919960179747;0.0;108.087964
-4.971767506004445;-0.5305919960179747;0.0;108.087964
-4.949866706574278;0.7062716100393025;0.0;108.087964
-4.949866706574278;-0.7062716100393025;0.0;108.087964
-4.921782767479884;0.8809394926656712;0.0;108.087964
-4.921782767479884;-0.8809394926656712;0.0;108.087964
-4.887571211248566;1.054347027773222;0.0;108.087964
-4.887571211248566;-1.054347027773222;0.0;108.087964
-4.84729973102242;1.226248473038795;0.0;108.087964
-4.84729973102242;-1.226248473038795;0.0;108.087964
-4.801048090268116;1.3964015306969824;0.0;108.087964
-4.801048090268116;-1.3964015306969824;0.0;108.087964
-4.748908004564694;1.5645679161293637;0.0;108.087964
-4.748908004564694;-1.5645679161293637;0.0;108.087964
-4.6909830056250525;1.7305139239361664;0.0;108.087964
-4.6909830056250525;-1.7305139239361664;0.0;108.087964
-4.627388287730179;1.8940109911448668;0.0;108.087964
-4.627388287730179;-1.8940109911448668;0.0;108.087964
-4.558250536778386;2.0548362572135894;0.0;108.087964
-4.558250536778386;-2.0548362572135894;0.0;108.087964
-4.4837077421747855;2.2127731204897367;0.0;108.087964
-4.4837077421747855;-2.2127731204897367;0.0;108.087964
-4.403908991808898;2.3676117907851233;0.0;108.087964
-4.403908991808898;-2.3676117907851233;0.0;108.087964
-4.31901425039068;2.519149837727449;0.0;108.087964
-4.31901425039068;-2.519149837727449;0.0;108.087964
-4.2291941214372555;2.667192734543299;0.0;108.087964
-4.2291941214372555;-2.667192734543299;0.0;108.087964
-4.134629593224369;2.811554396918774;0.0;108.087964
-4.134629593224369;-2.811554396918774;0.0;108.087964
-4.035511769037806;2.9520577165694704;0.0;108.087964
-4.035511769037806;-2.9520577165694704;0.0;108.087964
-3.9320415820809513;3.08853508912985;0.0;108.087964
-3.9320415820809513;-3.08853508912985;0.0;108.087964
-3.8244294954150537;3.220828935941702;0.0;108.087964
-3.8244294954150537;-3.220828935941702;0.0;108.087964
-3.712895187328749;3.3487922192801114;0.0;108.087964
-3.712895187328749;-3.3487922192801114;0.0;108.087964
-3.5976672225528823;3.4722889505006105;0.0;108.087964
-3.5976672225528823;-3.4722889505006105;0.0;108.087964
-3.4789827097556003;3.591194690520354;0.0;108.087964
-3.4789827097556003;-3.591194690520354;0.0;108.087964
-3.3570869457711465;3.705397041955552;0.0;108.087964
-3.3570869457711465;-3.705397041955552;0.0;108.087964
-3.232233047033631;3.8147961321234045;0.0;108.087964
-3.232233047033631;-3.8147961321234045;0.0;108.087964
-3.10468156870433;3.91930508597476;0.0;108.087964
-3.10468156870433;-3.91930508597476;0.0;108.087964
-2.974700111997759;4.018850487848549;0.0;108.087964
-2.974700111997759;-4.018850487848549;0.0;108.087964
-2.8425629202277896;4.113372830724934;0.0;108.087964
-2.8425629202277896;-4.113372830724934;0.0;108.087964
-2.7085504641104974;4.20282695139436;0.0;108.087964
-2.7085504641104974;-4.20282695139436;0.0;108.087964
-2.5729490168751576;4.2871824496469895;0.0;108.087964
-2.5729490168751576;-4.2871824496469895;0.0;108.087964
-2.436050219748858;4.366424089213225;0.0;108.087964
-2.436050219748858;-4.366424089213225;0.0;108.087964
-2.298150638393551;4.440552177742236;0.0;108.087964
-2.298150638393551;-4.440552177742236;0.0;108.087964
-2.1595513108869855;4.509582922582342;0.0;108.087964
-2.1595513108869855;-4.509582922582342;0.0;108.087964
-2.0205572878508633;4.573548758514854;0.0;108.087964
-2.0205572878508633;-4.573548758514854;0.0;108.087964
-1.8814771653407125;4.632498642881774;0.0;108.087964
-1.8814771653407125;-4.632498642881774;0.0;108.087964
-1.7426226111223295;4.6864983127282995;0.0;108.087964
-1.7426226111223295;-4.6864983127282995;0.0;108.087964
-1.6043078849692698;4.735630497644999;0.0;108.087964
-1.6043078849692698;-4.735630497644999;0.0;108.087964
-1.466849353624644;4.779995080935854;0.0;108.087964
-1.466849353624644;-4.779995080935854;0.0;108.087964
-1.33056500107852;4.819709200554004;0.0;108.087964
-1.33056500107852;-4.819709200554004;0.0;108.087964
-1.1957739348193859;4.854907279939192;0.0;108.087964
-1.1957739348193859;-4.854907279939192;0.0;108.087964
-1.062795888724533;4.885740977468027;0.0;108.087964
-1.062795888724533;-4.885740977468027;0.0;108.087964
-0.9319507232597495;4.912379041708369;0.0;108.087964
-0.9319507232597495;-4.912379041708369;0.0;108.087964
-0.8035579236633863;4.935007058081862;0.0;108.087964
-0.8035579236633863;-4.935007058081862;0.0;108.087964
-0.6779360967937693;4.953827070928498;0.0;108.087964
-0.6779360967937693;-4.953827070928498;0.0;108.087964
-0.5554024673218798;4.969057063396713;0.0;108.087964
-0.5554024673218798;-4.969057063396713;0.0;108.087964
-0.43627237395340135;4.98093027613568;0.0;108.087964
-0.43627237395340135;-4.98093027613568;0.0;108.087964
-0.32085876636552424;4.989694344551217;0.0;108.087964
-0.32085876636552424;-4.989694344551217;0.0;108.087964
-0.20947170354429545;4.995610233536465;0.0;108.087964
-0.20947170354429545;-4.995610233536465;0.0;108.087964
-0.10241785420791505;4.99895094826299;0.0;108.087964
-0.10241785420791505;-4.99895094826299;0.0;108.087964
0.0;5.0;0.0;108.087964
0.0;-5.0;0.0;108.087964
0.10241785420791505;4.99895094826299;0.0;108.087964
0.10241785420791505;-4.99895094826299;0.0;108.087964
0.20947170354429545;4.995610233536465;0.0;108.087964
0.20947170354429545;-4.995610233536465;0.0;108.087964
0.32085876636552424;4.989694344551217;0.0;108.087964
0.32085876636552424;-4.989694344551217;0.0;108.087964
0.43627237395340135;4.98093027613568;0.0;108.087964
0.43627237395340135;-4.98093027613568;0.0;108.087964
